name,ttm,12/31/2022,12/31/2021
MarketCap,"1,310,336,312","380,112,075","477,055,567"
EnterpriseValue,"1,138,675,077","169,564,111","229,867,793"
PbRatio,"7.824","1.927","1.956"
EnterprisesValueEBITDARatio,"-10.497","-2.246","-5.432"
