name,ttm,12/31/2023,12/31/2022
MarketCap,"831,178,981","862,293,306","1,806,130,994"
EnterpriseValue,"723,146,981","714,017,306","2,086,704,994"
PbRatio,"6.246","4.446",
EnterprisesValueEBITDARatio,"-3.875","-3.826","-18.253"
