name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
MarketCap,"7,564,289,486","7,237,066,953","5,408,235,426","8,581,529,970","5,955,192,804","3,840,291,640","2,383,775,308","2,419,194,705","1,638,741,531","1,394,316,340"
EnterpriseValue,"8,793,600,486","8,103,815,953","6,143,908,426","9,173,941,970","6,549,402,804","4,806,203,640","2,637,316,308","2,651,737,705","1,833,067,531","1,543,307,340"
PeRatio,"75.085","54.76","47.871","68.937","73.134",,"35.667","56.846","57.205","101.075"
ForwardPeRatio,"32.68","28.09","25.575","43.29","37.736","27.248","22.831","29.412",,
PsRatio,"1.738","1.694","1.523","2.748","2.183","1.553","1.355","1.548","1.215","1.2"
PbRatio,"7.385","7.109","6.217","11.258","9.345","16.802","10.53","12.87","9.186","8.522"
EnterprisesValueRevenueRatio,"2.029","1.87","1.64","2.824","2.362","1.996","1.365","1.534","1.236","1.221"
EnterprisesValueEBITDARatio,"23.224","21.403","18.657","28.314","24.424","-54.095","14.604","17.853","14.349","15.484"
