name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
MarketCap,"1,341,748,226","1,404,336,722","1,581,590,518","1,316,388,090","1,003,579,373","1,098,040,802","949,840,974","870,685,536","827,971,741","648,761,337","737,913,444","896,458,026","880,537,492"
PeRatio,"9.546","11.408","16.761","13.949","12.649","14.259","29.4","26.366","57.982","213.7","102.158","125.882",
ForwardPeRatio,,,,,,,"12.87","19.646","25.317","25.445","27.701","27.397",
PegRatio,,,,,,,"1.286","1.966","5.062","2.544","2.773","2.737",
PsRatio,"3.221","3.34","4.416","4.538","3.218","3.875","3.852","4.937","5.018","4.08","4.19","5.143","4.086"
PbRatio,"1.106","1.207","1.721","1.558","1.255","1.458","1.411","1.584","1.531","1.044","0.933","0.932","0.911"
