name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
MarketCap,"3,251,160,000","2,965,670,056","3,051,730,355","2,251,004,550","1,243,877,910","1,618,496,880","1,032,096,140"
EnterpriseValue,"3,157,341,000","2,938,609,056","2,765,962,355","1,981,846,550","1,000,416,910","1,490,622,880","1,006,330,140"
PeRatio,"19.167","19.569","32.426","57.773","25.559","17.691","12.789"
ForwardPeRatio,,,,,"39.063","19.57","12.579"
PsRatio,"3.568","3.544","6.082","7.687","4.674","3.624","2.027"
PbRatio,"3.756","3.617","5.624","4.927","3.544","5.182","6.373"
EnterprisesValueRevenueRatio,"2.878","2.679","4.018","4.519","2.87","2.372","1.849"
EnterprisesValueEBITDARatio,"9.5","8.842","13.073","17.65","8.959","6.527","4.942"
