name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
MarketCap,"5,666,461,020","3,895,427,595","3,118,237,435","3,914,065,778","4,636,662,930","2,143,157,170","2,088,414,969","2,321,069,324","1,606,701,597","3,604,814,317","3,596,603,999","4,201,512,362","5,247,312,726","6,415,183,722","5,871,185,351","2,711,572,506","4,129,459,611","3,004,736,032","2,060,624,984","1,221,426,446","1,305,336,145","768,970,550","2,148,191,750","2,309,092,452","2,548,549,015","1,949,791,875"
EnterpriseValue,"7,627,958,507","5,648,271,040","4,121,295,462","5,228,373,721","6,762,501,667","4,383,140,830","4,449,447,535","4,473,377,826","2,777,335,958","4,813,577,356","4,220,570,288","4,758,352,961","5,322,505,337","6,212,204,044","5,858,155,145","2,733,627,441","4,444,869,353","3,493,151,538","2,431,819,571","1,715,415,245","1,863,615,206","1,332,555,791","2,688,450,053","2,844,157,440","3,241,295,969","2,681,280,039"
PeRatio,"13.328","13.031","4.029","6.362","9.474","7.819","17.543","5.511","6.494","7.964","11.188","12.894","9.571","11.791","9.976","7.578","7.856","5.651","12.49","8.666","21.845",,"10.55","9.705","15.958","6.241"
ForwardPeRatio,"11.468","34.014","43.29","8.554","10.846","6.685",,,,,"4.083","4.443","8.826","9.497",,,,,,,,,,,,
PegRatio,,,,,,,,,,,"0.488","1.652","1.289","1.727",,,,,,,,,,,,
PsRatio,"1.285","0.909","0.745","1.151","1.204","0.547","0.546","0.581","0.401","0.883","0.928","1.011","1.415","1.726","1.823","1.223","0.928","0.886","0.753","0.586","0.88","0.723","2.166","0.412","1.391","1.629"
PbRatio,"1.247","0.993","0.797","1.015","1.069","0.512","0.456","0.494","0.458","0.729","0.664","0.705","0.912","1.056","1.16","0.829","1.016","1.008","0.884","0.632","0.775","0.576","0.994","0.917","0.785","0.478"
EnterprisesValueRevenueRatio,"0.338","0.258","0.172","0.281","0.426","0.301","0.317","0.341","0.186","0.344","0.46","0.56","0.684","0.9","0.937","0.501","0.854","0.746","0.358","0.31","0.422","0.354","0.873","1.048","1.855","1.555"
EnterprisesValueEBITDARatio,"2.22","2.471","0.663","0.851","1.765","1.695","2.013","2.081","1.155","1.901","1.986","3.096","2.473","3.198","3.028","1.161","1.849","1.33","1.576","1.277","2.575","2.229","2.803","3.036","4.89","3.784"
