name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
MarketCap,"2,636,411,897","2,789,820,552","1,467,724,893","2,198,253,070","1,869,914,880","1,672,897,490","2,227,331,470","2,643,274,937","3,131,785,758","1,736,702,560","1,953,068,000","1,188,093,120","1,686,744,500","1,982,216,540","1,875,132,480","1,149,012,160","1,188,448,442","1,084,775,010","1,722,691,850","989,866,240","1,218,947,600","1,132,773,400","777,112,816","513,042,700","290,748,125","3,823,875,000","220,972,401","147,357,867","285,671,242","327,627,000","308,356,125","183,540,000","257,344,250","118,475,250","75,812,000","87,631,500","114,747,500","99,210,250","151,105,500","75,096,000"
EnterpriseValue,"2,255,211,897","2,335,092,552","1,210,160,893","1,718,867,070","1,314,054,880","1,164,802,490","1,482,508,470","1,957,836,937","2,619,083,758","1,350,166,560","1,435,878,000","637,886,120","1,309,856,500","1,482,509,540","1,333,931,480","740,258,160","1,049,717,442","911,025,010","1,420,178,850","877,645,240","1,089,013,600","1,028,821,400","691,710,816","425,026,700","199,495,125","3,743,748,000","204,572,401","134,057,867","278,671,242","259,227,000","308,256,125","185,940,000","262,244,250","127,875,250","76,612,000","85,131,500","103,647,500","88,110,250","144,005,500","70,596,000"
PeRatio,"13.575","14.95","18.326","70.225","31.44","209.577","20.695","10.489","15.642","17.898","20.504","28.912","6.564","19.715","11.966","13.621","48.246","58.325","7.556","107.765",,"35.517","364",,"540.625","144.231","6.084",,,"7.846",,,,,,,,,,
ForwardPeRatio,"12.837","19.685","13.774","25.253","21.231","30.395",,,,,,"81.967","5.342","17.857","14.706",,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"0.856","1.314","0.919","1.684","1.415","2.029",,,,,,,,"1.19","0.84",,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"5.289","5.552","3.365","5.534","5.087","6.082","5.406","4.528","6.395","4.362","5.019","3.898","2.689","6.241","4.753","3.937","5.533","4.929","4.125","6.758","12.592","10.732","9.293","9.863","6.218","53.591","2.251","2.962","5.252","2.907","14.453","10.094","5.234","3.432","3.584","19.358","27.34","38.846","87.039","219.444"
PbRatio,"4.533","4.759","2.11","3.035","2.387","2.139","2.226","3.215","5.164","3.571","3.73","2.189","3.252","4.424","5.31","6.777","13.557","7.914","5.948","9.698","10.539","11.621","9.864","8.513","3.122","34.922","2.915","3.827","3.94","5.033","56.065","13.11","14.218","65.82",,"21.908","5.49","4.747","17.171","21.456"
EnterprisesValueRevenueRatio,"4.103","4.249","2.643","4.041","3.66","3.652","4.823","3.674","3.933","3.059","3.453","1.961","1.975","4.913","3.381","2.489","4.595","3.889","2.956","5.38","10.503","8.98","7.87","8.086","3.507","52.977","2.062","2.69","5.189","3.05","6.165","11.338","6.156","3.783","4.119","18.918","24.104","36.713","90.003","235.32"
EnterprisesValueEBITDARatio,"6.313","6.537","5.363","10.678","8.581","8.089","11.053","5.331","5.279","5.208","6.798","5.779","2.912","9.306","5.17","5.448","17.084","20.225","4.046","30.786","318.891","26.195","37.374","-38.102","19.985","115.537","4.204","-4.319","-37.658","6.497","-39.02","-6.116","-100.863","-36.536","-11.971","-5.354","-5.455","-8.472","-15.001","-9.671"
