name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010
MarketCap,"1,177,490,789","1,072,584,248","907,051,200","912,549,140","800,776,500","275,318,400","226,885,524","340,051,086","399,946,640","316,963,220","230,001,840","243,838,080","194,832,109","226,947,413","325,446,500","305,214,602"
EnterpriseValue,"1,065,464,789","967,881,248","735,298,200","685,753,140","810,848,500","351,997,400","234,784,524","228,928,086","285,687,640","238,340,220","124,776,840","148,276,080","110,221,109","159,833,413","239,174,500","190,900,602"
PeRatio,,,"34.526","2.047","21.553",,"934","20.343","34.729",,,,"38.2","15","8.775","7.758"
ForwardPeRatio,,,,,,,,,,,,"178.571","30.769","8.097",,
PsRatio,"1.759","1.612","1.328","1.227","1.346","0.605","0.502","0.866","1.072","1","0.702","0.764","0.547","0.681","0.916","0.969"
PbRatio,"1.315","1.218","1.022","1.104","2.319","0.95","0.799","1.212","1.522","1.345","0.825","0.865","0.691","0.844","1.251","1.612"
EnterprisesValueRevenueRatio,"1.618","1.472","1.016","0.901","1.347","0.775","0.523","0.559","0.758","0.732","0.38","0.474","0.311","0.464","0.662","0.633"
EnterprisesValueEBITDARatio,"25.381","19.159","1.549","4.46","8.874","12.398","9.585","5.637","7.415","9.834","4.794","5.949","2.85","3.707","4.169","3.937"
