name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
MarketCap,"8,297,117,894","7,544,203,122","6,833,377,235","5,988,519,244","4,535,284,758","4,832,611,001","3,190,846,464","4,785,079,878","3,963,334,976","4,165,756,239","4,454,346,090","3,117,567,763","2,225,689,891","1,658,576,190","1,336,988,246","1,191,061,017","390,475,615","741,610,919","868,531,279","452,951,655","1,429,819,977","805,415,126","42,660,565","36,700,823","8,508,577","80,819,802","100,195,650","186,024,179","555,205,010","407,130,391","528,810,213","513,040,000","273,506,250"
EnterpriseValue,"13,759,117,894","12,981,203,122","12,246,377,235","10,075,519,244","8,172,484,758","7,773,311,001","6,083,746,464","7,042,679,878","6,172,634,976","6,078,456,239","6,478,346,090","5,258,367,763","4,507,489,891","3,865,176,190","3,777,388,246","3,841,461,017","3,404,175,615","2,610,710,919","2,840,831,279","2,484,051,655","3,447,719,977","2,942,515,126","592,365,565","655,693,823","813,320,577","1,080,419,802","393,295,650","236,624,179","639,505,010","486,230,391","626,310,213","577,240,000","343,106,250"
PeRatio,"11.585","11.154","17.115","24.684","36.043","22.5","9.5","30.294","16","20.047","48.643","27.429","20.839","47.333","129.667","21.688",,,,,,,"188",,,"14.251","18.15","25.457","49.689","14.829","60.229","78.431",
ForwardPeRatio,"10.101","8.613","8.554","10.122","14.535","16.639",,"18.622","14.859","15.267","17.699","13.736","12.92","9.911","12.97",,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,"3.723",,,"2.211","1.717","1.616","0.6","1.621",,,,,,,,,,,,,,,,,,
PsRatio,"0.889","0.797","0.762","0.799","0.751","0.809","0.589","1.112","0.95","1.026","1.054","0.779","0.59","0.381","0.33","0.292","0.088","0.308","0.36","0.189","0.599","0.358","0.174","0.138","0.031","0.37","0.391","0.966","0.907","0.461","0.759","0.799","0.479"
PbRatio,"2.984","2.971","3.494","3.23","3.177","3.105","1.784","4.221","3.532","3.772","4.056","2.844","2.285","1.679","1.79","1.634","0.743","5.15","3.999","1.289","3.131","1.647","0.206","0.092","0.021","0.191","0.224","0.432","1.395","0.831","1.174","1.232","0.688"
EnterprisesValueRevenueRatio,"1.459","1.377","1.297","1.408","1.246","1.262","1.009","1.599","1.436","1.461","1.528","1.174","1.039","0.919","0.922","0.938","0.834","1.078","1.224","1.083","1.445","1.748","0.475","0.546","0.738","1.271","0.569","0.555","0.898","0.534","0.856","0.899","0.601"
EnterprisesValueEBITDARatio,"7.687","7.252","8.354","11.183","9.626","8.252","6.746","10.465","8.878","8.59","13.402","8.884","7.796","8.284","7.558","6.612","8.193","7.398","9.514","8.277","9.761","10.735","2.106","2.602","5.466","8.74","3.739","3.591","5.669","4.557","7.3","8.759","16.184"
