name,ttm,03/31/2024,03/31/2023,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"3,447,894,412","3,161,487,622","4,005,823,788","9,294,535,508","7,281,302,352","9,203,928,949","7,586,815,977","6,127,150,070","11,874,876,356"
EnterpriseValue,"4,248,973,412","3,595,081,622","4,675,422,788","9,574,375,508","8,442,716,352","10,087,256,949","8,221,588,977","6,937,530,070","12,768,690,356"
PeRatio,"12.981","8.022","18.149","18.989",,"76.72",,"41.625","56.562"
ForwardPeRatio,"31.348","14.006","15.504","26.954","116.279","42.553","49.02","56.818","37.037"
PegRatio,"1.937","1.818","1.479",,"4.136","1.152","1.263","2.997","1.481"
PsRatio,"0.615","0.56","0.703","1.501","1.498","1.665","1.392","1.214","2.381"
PbRatio,"1.64","1.432","2.07","4.344","4.605","4.023","3.616","2.803","5.738"
EnterprisesValueRevenueRatio,"0.787","0.623","0.816","1.723","1.871","1.934","1.593","1.411","2.722"
EnterprisesValueEBITDARatio,"38.849","9.318","8.288","38.359","55.129","29.89","70.315","17.626","22.718"
