name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
MarketCap,"6,707,791,207","5,371,961,498","5,357,860,358","1,560,544,913","852,721,651","3,758,281,940","3,916,289,819","3,900,803,602","2,736,220,790","3,599,352,953","2,183,977,010","1,247,875,780","684,743,970"
EnterpriseValue,"6,968,491,207","5,542,561,498","6,110,160,358","5,217,244,913","4,923,121,651","5,616,581,940","5,034,220,819","5,765,080,602","4,420,452,790","4,507,645,953","2,863,087,010","1,929,023,780","1,128,839,970"
PeRatio,"3.407","2.038","2.103",,,,"5.169","16.722",,,"6.268",,"363.125"
ForwardPeRatio,"10.142","8.313","5.339","30.864",,"9.709","7.547","12.063","29.674","8.019","7.358","8.258",
PsRatio,"0.192","0.145","0.115","0.069","0.048","0.156","0.139","0.198","0.197","0.23","0.085","0.065","0.14"
PbRatio,"1.034","0.772","1.253","0.902","0.441","1.25","1.277","1.856","1.75","2.484","1.332","1.948","1.631"
EnterprisesValueRevenueRatio,"0.182","0.145","0.13","0.191","0.326","0.229","0.185","0.265","0.278","0.343","0.144","0.101","0.056"
EnterprisesValueEBITDARatio,"1.968","1.565","1.409","4.622","-10.008","5.169","6.648","4.6","5.924","7.57","8.351","4.359","1.116"
