name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"1,727,324,100","2,294,784,000","2,900,430,000","5,447,774,501"
EnterpriseValue,"5,358,324,100","5,795,784,000","5,720,430,000","7,856,774,501"
PeRatio,"11.605",,"11.732",
ForwardPeRatio,"12.516","14.389","13.158",
PsRatio,"0.357","0.483","0.617","1.41"
PbRatio,"94.325","9.807","5.245","20.102"
EnterprisesValueRevenueRatio,"1.106","1.219","1.217","2.035"
EnterprisesValueEBITDARatio,"9.586","10.713","7.989","24.476"
