name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
MarketCap,"872,200,067","967,089,196","803,451,538","1,331,433,684","964,236,975","1,691,569,331","1,317,049,837"
EnterpriseValue,"3,353,606,067","3,599,397,196","4,711,848,538","4,770,044,684","4,806,911,975","6,346,484,331","6,397,773,837"
PeRatio,,"186","6.628",,,,"108.015"
PsRatio,"2.174","2.443","2.346","3.865","2.132","3.043","5.375"
PbRatio,"0.683","0.736","0.573","0.929","0.566","0.795","0.698"
EnterprisesValueRevenueRatio,"8.553","9.18","13.142","14.764","11.328","11.553","13.516"
EnterprisesValueEBITDARatio,"93.394","100.239","41.876","46.953","-33.71","-18.794","-215.813"
