name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
MarketCap,"991,778,538","1,028,196,599","1,316,640,019","2,059,011,680","1,807,901,100","1,648,600,800","1,104,058,480","1,499,612,094","1,812,127,818","1,601,741,370","2,871,995,610","2,633,545,600","1,806,895,740","1,155,831,194","1,283,212,799","695,802,900","517,102,576","601,359,751","746,453,200","732,240,052","638,836,216","406,073,647","246,753,519"
EnterpriseValue,"3,843,820,538","3,806,907,599","3,695,639,019","4,579,778,680","4,295,538,100","4,200,114,800","3,184,569,480","3,349,362,094","3,536,936,818","3,187,087,370","4,227,104,610","2,977,069,600","2,101,750,740","1,387,349,194","1,544,514,799","996,336,900","771,506,576","752,732,668","720,874,385","666,538,857","592,874,297","383,370,103","230,279,522"
PeRatio,,,"10.175","12.874","12.394","22.407","8.096","26.349","12.736","9.799","16.647","16.342","14.46","12.254","17.287","15.627","11.394","12.964","17.619","21.401","23.827","20.114","19.416"
ForwardPeRatio,,,"13.089","15.699","11.765","14.749","11.655",,,"7.138","12.285","12.739","12.27","9.756","14.006",,,,,,,,
PegRatio,"5.884",,,,"5.884","0.399",,,,"0.51","1.024","1.062","1.023","0.542","0.816",,,,,,,,
PsRatio,"1.214","1.258","1.381","2.066","1.735","1.736","1.279","2.005","2.016","1.771","3.582","3.831","3.087","2.631","3.407","2.466","1.966","2.836","4.208","5.309","5.763","4.912","3.943"
PbRatio,"0.85","0.922","1.164","1.481","1.459","1.506","1","1.484","1.933","1.855","2.992","3.225","2.551","2.036","2.616","2.074","1.822","2.556","3.194","3.968","4.22","3.408","3.061"
EnterprisesValueRevenueRatio,"4.713","4.668","3.815","4.18","4.032","4.22","3.627","4.075","4.25","3.383","4.798","4.05","3.545","3.023","4.144","3.545","2.93","3.41","3.828","4.488","5.228","4.514","4.123"
EnterprisesValueEBITDARatio,"366.497","362.977","16.667","17.21","18.969","15.055","13.666","16.379","14.952","9.459","11.919","9.543","9.115","7.265","10.849","11.092","8.357","8.64","9.346","10.369","12.541","10.679","10.513"
