name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"1,126,738,566","615,477,559","623,523,126","1,176,931,791"
EnterpriseValue,"1,093,209,566","617,232,559","609,245,126","1,089,712,791"
ForwardPeRatio,"112.36",,,
PsRatio,"4.024","2.859","4.125",
PbRatio,"7.45","6.388","5.924",
EnterprisesValueRevenueRatio,"3.748","2.736","3.88","9.107"
EnterprisesValueEBITDARatio,"64.783","1,312.986","-22.812","-69.797"
