name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"1,233,643,653","1,181,544,824","664,943,680","2,542,047,687","4,127,809,646"
EnterpriseValue,"3,024,173,653","2,934,586,824","2,608,023,680","4,413,415,687","4,127,809,646"
PeRatio,,,"9.455",,
PsRatio,"0.295","0.275","0.168","0.727",
PbRatio,"1.116","1.102","0.263","1.032",
EnterprisesValueRevenueRatio,"0.716","0.695","0.644","1.225","1.308"
EnterprisesValueEBITDARatio,"10.041","9.744","-2.201","9.408","14.125"
