name,ttm
MarketCap,"7,126,165,928"
EnterpriseValue,"7,682,619,928"
PeRatio,"380.166"
ForwardPeRatio,"108.696"
PsRatio,"18.037"
PbRatio,"9.257"
EnterprisesValueRevenueRatio,"20.281"
EnterprisesValueEBITDARatio,"62.591"
