name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019
MarketCap,"993,493,259","553,450,551","260,109,639","207,071,304","397,206,245"
EnterpriseValue,"1,621,081,605","1,235,697,415","828,478,592","1,038,244,178","1,068,161,177"
PeRatio,"5.847",,"135",,
ForwardPeRatio,"7.21",,"5.252",,
PsRatio,"2.337",,"1.404",,
PbRatio,"2.484",,"0.719",,
EnterprisesValueRevenueRatio,"3.755","4.56","4.902","3.67","8.362"
EnterprisesValueEBITDARatio,"6.029","7.841","12.776","5.855","16.636"
