name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
MarketCap,"1,466,314,033","1,662,953,292","1,779,804,332","4,521,027,150","3,856,902,940","1,925,614,600","343,771,560"
EnterpriseValue,"5,407,958,033","5,499,128,292","5,208,640,332","6,510,989,150","5,267,012,940","2,609,523,600","695,898,560"
PeRatio,,,"12.72","63.373","63.035","47.412","138.309"
ForwardPeRatio,"13.569","15.924",,,,,
PsRatio,"3.902","4.608","6.868","24.237","24.265","12.623","14.797"
PbRatio,"0.657","0.735","0.845","2.714","3.092","2.282","0.932"
EnterprisesValueRevenueRatio,"15.338","15.597","19.269","34.816","33.887","27.94","13.995"
EnterprisesValueEBITDARatio,"38.516","39.166","18.239","39.449","38.75","34.571","17.85"
