name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
MarketCap,"1,276,228,345","1,356,293,250","467,553,688","874,594,019","1,657,419,369","392,670,711","602,220,591"
EnterpriseValue,"1,058,108,345","1,201,152,250","196,069,688","681,883,019","1,574,057,369","222,154,711","498,854,591"
PsRatio,"13.136",,"11.912","48.985","73.492","26.9",
PbRatio,"5.667","8.089","1.595","4.67","26.318","3.224","5.884"
EnterprisesValueRevenueRatio,"8.22",,"5.907","36.24","102.192","10.841",
EnterprisesValueEBITDARatio,"-6.281","-7.131","-1.492","-5.357","-18.434","-4.173","-10"
