name,ttm,12/31/2023
MarketCap,"2,015,182,872","53,726,264"
EnterpriseValue,"1,969,963,872","65,087,264"
PeRatio,"9.2","0.912"
PsRatio,"4.97","0.617"
EnterprisesValueRevenueRatio,"9.662","0.749"
EnterprisesValueEBITDARatio,"21.049","2.555"
