name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"1,753,138,661","2,293,551,656","2,050,397,514","2,384,525,466"
EnterpriseValue,"1,694,838,661","2,270,069,656","1,955,738,514","2,091,130,466"
PeRatio,"26.735","19.447","29.144","17.669"
ForwardPeRatio,"8.137","8.065","7.849","14.43"
PsRatio,"5.333","7.475","10.11","9.977"
PbRatio,"3.568","4.472","3.843","6.143"
EnterprisesValueRevenueRatio,"5.156","7.391","9.952","9.46"
EnterprisesValueEBITDARatio,"12.883","15.831","21.668","15.876"
