name,ttm,12/31/2021
MarketCap,"791,055,136","429,093,750"
EnterpriseValue,"981,609,136","428,758,692"
PsRatio,,"1.231"
PbRatio,"1.237","1.386"
EnterprisesValueRevenueRatio,,"3.009"
EnterprisesValueEBITDARatio,"-57.021","28.493"
