name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"1,108,189,000","153,008,000","63,309,000","783,679,918","3,952,635,776"
EnterpriseValue,"734,289,000","-183,992,000","-462,491,000","151,279,918","3,918,535,776"
ForwardPeRatio,"3.284","1.415",,,
PsRatio,"1.138","0.455","0.189","2.582","9.754"
PbRatio,"6.092","0.858","0.193","1.232",
EnterprisesValueRevenueRatio,"0.703","-0.422","-1.509","0.499","9.738"
