name,ttm,02/28/2023,02/28/2022
MarketCap,"814,363,835","786,158,092","974,959,839"
EnterpriseValue,"785,930,755","751,403,837","938,917,653"
PeRatio,"22.929","26.537","36.429"
ForwardPeRatio,"7.74",,"6.246"
PsRatio,"3.825","4.352","5.741"
PbRatio,"5.661","6.015","7.123"
EnterprisesValueRevenueRatio,"0.195","0.214","0.342"
EnterprisesValueEBITDARatio,"0.771","0.497","0.748"
