name,ttm,12/31/2022,12/31/2021,12/31/2020
MarketCap,"829,698,546","895,815,027","3,828,700,937","9,696,026,089"
EnterpriseValue,"616,866,046","361,619,539","3,069,857,022","8,759,497,383"
PsRatio,"0.854","0.745","2.702","10.643"
PbRatio,"0.882","0.66","2.205","7.588"
EnterprisesValueRevenueRatio,"0.083","0.044","0.339","1.332"
EnterprisesValueEBITDARatio,"-0.273","-0.264","-4.593","-48.717"
