name,ttm,12/31/2023,12/31/2022
MarketCap,"4,015,861,451","3,053,944,051","2,486,495,050"
EnterpriseValue,"5,078,090,451","4,000,660,051","3,110,404,050"
PeRatio,,,"40.974"
PsRatio,"10.232","49.335","26.47"
EnterprisesValueRevenueRatio,"12.959","64.629","33.112"
EnterprisesValueEBITDARatio,"-8.776","-8.104","34.308"
