name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
MarketCap,"6,949,720,628","7,128,473,612","5,790,483,047","8,525,817,642","4,955,131,656","4,508,688,271","2,790,684,755","2,571,277,321","1,804,296,683","1,256,026,793","1,578,653,874","912,745,647","641,503,518","182,390,893"
EnterpriseValue,"9,586,602,628","9,701,320,612","8,271,953,047","10,484,204,642","6,582,650,656","6,071,437,271","4,180,127,755","3,853,166,321","3,030,819,683","2,242,848,793","2,390,555,874","1,524,522,647","1,170,712,518","479,030,893"
PeRatio,"35.72","38.871","24.112","38.063","38.667","49.328","56.545","47.121",,,,,,"588.175"
ForwardPeRatio,,,,,,,"120.482","142.857",,,"45.045","20.45",,
PegRatio,,,,,,,"17.254","20.441",,,,,,
PsRatio,"9.749","10.164","9.038","13.936","9.793","9.74","7.336","8.141","6.759","5.723","7.509","6.549","5.265","2.428"
PbRatio,"2.059","2.086","1.693","2.881","2.127","2.284","1.949","2.308","2.798","1.746","2.593","1.988","1.789","1.074"
EnterprisesValueRevenueRatio,"13.544","13.706","12.584","18.65","13.617","14.956","11.909","12.798","12.112","10.259","13.753","11.386","13.928","10.873"
EnterprisesValueEBITDARatio,"16.812","17.013","15.453","20.941","13.483","20.538","13.193","16.743","14.86","19.141","22.109","16.749","22.615","14.717"
