name,ttm,12/31/2023
MarketCap,"5,743,250,383","5,564,801,970"
PeRatio,"11.815","29"
ForwardPeRatio,"9.814","8.688"
PsRatio,"2.922","3.871"
PbRatio,"1.089","1.201"
EnterprisesValueRevenueRatio,"5.065","5.565"
