name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"1,176,258,834","1,127,867,167","946,160,961","2,596,544,541","6,954,851,015"
EnterpriseValue,"954,858,834","933,567,167","760,760,961","2,277,144,541","6,379,451,015"
PsRatio,"2.715","2.782","4.119","23.423","71.239"
PbRatio,"1.659","1.552","1.045","2.478","12.223"
EnterprisesValueRevenueRatio,"2.222","2.172","2.964","17.735","67.579"
