name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
MarketCap,"1,841,580,420","1,841,168,226","1,048,424,936","1,362,475,394","794,281,894","565,803,892","572,732,958","564,524,080"
PeRatio,"7.535","8.236","5.404","6.413","5.829","10.108","8.886","12.594"
PsRatio,"3.294","3.556","2.429","3.212","2.714","3.952","4.407","5.417"
PbRatio,"1.533","1.625","1.148","1.822","1.459","1.358","1.566","2.799"
