name,ttm,12/31/2023
MarketCap,"4,481,391,991","1,096,715,976"
EnterpriseValue,"4,361,498,991","1,055,831,976"
ForwardPeRatio,"43.86",
PsRatio,"7.302","3.315"
PbRatio,"8.606","3.463"
EnterprisesValueRevenueRatio,"11.025","3.191"
EnterprisesValueEBITDARatio,"181.505","35.609"
