name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"1,260,313,600","1,676,637,973","1,356,149,157","2,042,569,514","1,466,935,566","1,458,456,513","1,332,500,549","1,243,771,520","1,005,106,012","1,089,732,727","1,227,538,196","545,353,365"
EnterpriseValue,"998,922,600","1,418,446,973","955,046,157","1,725,375,514","1,199,266,566","1,196,280,513","1,038,430,549","986,982,520","844,448,012","942,946,727","1,105,032,196","516,684,365"
PeRatio,,,"8.744","19.792","36.861","17.823","19.395","21.175","15.535","18.099","47.886","18.502"
PsRatio,"1.964","2.294","0.906","1.962","2.096","1.842","1.712","1.806","1.43","1.729","2.219","1.224"
PbRatio,"1.953","2.584","1.868","3.231","2.815","3.089","3.482","4.072","4.184","6.397","12.302","148.436"
EnterprisesValueRevenueRatio,"1.546","2.196","0.734","1.331","1.673","1.483","1.274","1.371","1.177","1.368","1.931","1.185"
EnterprisesValueEBITDARatio,"-38.589","-54.796","6.116","8.392","16.852","10.232","8.313","9.304","7.472","7.964","12.58","20.594"
