name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
MarketCap,"5,829,190,270","5,229,462,729","399,600,628","3,375,815,350","855,815,022","7,455,569","9,243,322","51,158,898","25,921,198","23,787,417","116,124,059","34,584,429","45,546,325"
EnterpriseValue,"5,798,009,270","5,454,056,729","1,126,881,068","2,882,120,814","838,762,970","7,332,326","7,053,648","66,618,960","42,222,689","53,640,002","116,630,115","30,598,185","41,560,081"
PeRatio,"20.547",,,,,,,,,,"54.323",,
ForwardPeRatio,,,"4.47",,"37.313",,,,"9.05","4",,,
PegRatio,,,,,,,,,,"0.08",,,
PsRatio,"10.808","14.341","2.464","49.889","84.168","4.652","5.314","26.933","0.586","1.675","4.597","11.264",
PbRatio,"3.607","5.127","0.796","5.112","23.585","2.137","1.447",,"2.572","1.518","4.121","3.008","11.561"
EnterprisesValueRevenueRatio,"14.962","14.075","9.57","18.108","192.509","6.186","4.515","128.207","1.153","2.826","5.449","8.951",
EnterprisesValueEBITDARatio,"12.403","11.667","-1.804","247.86","-113.947","-3.071","-0.849","-2.695","-6.288","-5.355","-161.138","-11.456","-7.531"
