name,ttm,12/31/2023,12/31/2022,12/31/2021
MarketCap,"739,057,866","1,531,626,756","3,208,207,239","8,180,593,772"
EnterpriseValue,"977,029,866","1,783,793,756","3,465,635,239","8,332,261,772"
ForwardPeRatio,"38.168","24.039","18.797","52.356"
PsRatio,"0.646","1.285","2.471","8.268"
PbRatio,"0.956","1.969","4.409","12.222"
EnterprisesValueRevenueRatio,"0.867","1.583","2.674","7.788"
EnterprisesValueEBITDARatio,"49.956","91.205","-196.231","117.11"
