name,ttm,12/31/2023,12/31/2022
MarketCap,"1,972,823,374","919,562,777","889,001,602"
EnterpriseValue,"986,580,883","495,283,534","793,787,921"
PeRatio,"29.986",,"23.563"
PsRatio,"11.352","61.273","8.92"
PbRatio,"6.931","1.968","4.522"
EnterprisesValueRevenueRatio,"115.858","35.151","7.73"
EnterprisesValueEBITDARatio,"-9.23","-2.8","-35.535"
