name,ttm,12/31/2022
MarketCap,"837,960,117","557,866,199"
EnterpriseValue,"564,489,117","291,711,199"
PbRatio,"2.806","2.194"
EnterprisesValueEBITDARatio,"-5.362","-1.865"
