name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
MarketCap,"10,203,963,071","12,006,752,634","12,259,226,015","19,332,694,645","17,647,180,295","9,651,290,044","6,596,502,469","5,612,983,328","4,092,290,593","3,423,378,942","2,999,190,947","2,453,906,384","1,985,205,036","2,184,022,954","2,182,875,388","1,957,878,868","1,367,384,346","2,039,047,707","1,572,596,739","1,162,468,886","568,243,140","424,585,958","126,734,709","216,641,657","259,107,224","584,402,628","244,016,500","465,192,000","136,170,000"
EnterpriseValue,"9,243,905,071","11,097,784,634","11,573,219,015","18,587,637,645","17,115,575,295","9,797,325,044","6,601,277,469","5,683,953,328","3,702,762,593","2,991,914,942","2,793,493,947","2,262,735,384","1,686,654,036","1,876,450,954","1,830,756,388","1,634,217,868","1,036,936,346","1,799,106,707","1,437,518,739","1,101,573,886","515,133,140","371,475,958","73,624,709","167,866,657","162,613,224","487,908,628","195,916,500","420,892,000","130,870,000"
PeRatio,"26.295","40.469","52.114","101.879","91.465","53.316","38.372","60.467","28.531","26.055","40.198","40.157","30.716","37.446","45.921","45.647","35.109","51.224","49.645","32.322","27.447","76.818",,,"17.148","39.99","58.446",,"25.714"
ForwardPeRatio,"13.986","20.877","23.042","41.841","46.512","27.027","21.552","20.833","17.182","16.949","17.731","16.695","16.051",,,,,,,,,,,,,,,,
PegRatio,"1.165","1.74","1.922","3.46","4.057","2.367","2.156","2.084","1.719","1.696","1.773","1.113","0.802",,,,,,,,,,,,,,,,
PsRatio,"4.242","5.703","6.027","11.035","11.316","6.419","4.781","4.496","4.422","3.33","3.138","2.759","2.371","2.905","3.246","3.326","2.206","3.701","3.986","3.324","2.321","1.908","0.686","1.674","1.664","4.875","2.89","5.541","3.36"
PbRatio,"2.998","3.897","4.198","7.013","7.213","4.428","3.426","3.383","2.843","2.475","2.561","2.04","1.694","1.863","1.906","1.81","1.408","2.256","2.97","4.517","2.55","2.401","0.82","1.297","1.185","3.187","1.552","3.122","3.196"
EnterprisesValueRevenueRatio,"3.506","4.808","5.438","10.124","10.413","6.302","4.63","4.415","3.901","2.843","2.828","2.468","1.919","2.449","2.655","2.803","1.661","3.477","3.752","3.791","2.039","1.657","0.453","1.321","0.994","3.947","2.153","6.074","3.288"
EnterprisesValueEBITDARatio,"12.527","18.997","24.045","40.768","38.16","23.879","19.353","19.977","16.172","13.463","16.552","13.176","11.284","13.622","15.379","17.438","11.278","26.663","27.729","25.508","14.707","15.757","-3.926","-5.132","7.141","21.648","24.187","43.391","24.235"
