name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
MarketCap,"3,385,046,907","1,922,152,427","1,321,546,854","1,878,394,943","1,825,602,171","1,076,077,227","1,239,195,768","2,313,941,123","1,345,636,180","900,112,173","2,036,587,075","1,412,478,756","1,732,245,464","1,707,759,171","2,684,851,584","1,993,895,203","390,979,041"
EnterpriseValue,"4,078,995,907","3,159,740,427","2,284,453,854","2,831,832,943","2,625,062,171","1,740,999,227","1,828,183,768","3,050,304,123","2,450,805,180","2,078,535,173","2,652,511,925","1,279,032,974","870,240,901","868,317,136","2,108,979,769","1,418,023,388","-184,892,774"
PeRatio,"35.534","110.4","17.483",,,,"5.756","125.714",,,,,,,"38.027","18.575","5.759"
ForwardPeRatio,"9.425","6.402","7.663","8.78","63.694",,"29.851","11.848","13.405","13.089","12.151","30.769","48.781",,,,
PsRatio,"1.565","1.121","0.849","1.355","1.671","0.857","0.819","1.649","1.169","1.407","3.347","2.583","2.452","1.984","3.547","2.899","0.433"
PbRatio,"1.343","0.947","0.846","1.272","1.086","0.584","0.562","1.123","0.752","0.444","0.972","0.884","0.98","0.991","1.568","1.226","0.305"
EnterprisesValueRevenueRatio,"2.001","2.243","1.459","2.024","2.398","1.377","1.215","2.411","2.134","3.263","5.274","2.345","1.232","1.067","2.708","2.06","-0.229"
EnterprisesValueEBITDARatio,"5.58","6.583","4.333","11.324","11.874","151.536","2.801","5.958","20.869","26.456","28.945","14.344","6.569","2.856","8.036","6.115","-0.871"
