name,ttm,12/31/2023,12/31/2022
MarketCap,"4,778,951,362","3,434,000,476","946,074,388"
EnterpriseValue,"4,428,009,362","3,224,971,476","895,406,388"
PbRatio,"11.166","11.841","9.444"
EnterprisesValueEBITDARatio,"-10.318","-7.515","-1.58"
