name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"4,439,264,668","4,496,892,193","3,945,223,138","11,726,124,810","16,807,652,750"
EnterpriseValue,"5,015,975,668","5,100,768,193","4,377,900,138","8,788,790,810","13,715,144,750"
PeRatio,"17.387",,,"11.168","92.034"
ForwardPeRatio,,,,"131.579",
PegRatio,,,,"3.368",
PsRatio,"1.023","0.97","0.755","3.501","3.284"
PbRatio,"0.73","0.783","0.668","1.627","2.713"
EnterprisesValueRevenueRatio,"1.149","1.168","0.836","2.376","4.961"
EnterprisesValueEBITDARatio,"5.037","5.122","-4.479","9.617","30.078"
