name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"1,116,203,395","1,072,101,430","1,149,379,548","3,808,384,028","2,109,483,732"
EnterpriseValue,"676,434,395","598,730,430","729,860,548","3,442,455,028","1,742,918,732"
PbRatio,"2.553","2.225","2.786","9.719","6.25"
EnterprisesValueEBITDARatio,"-2.678","-2.371","-3.231","-15.937","-14.692"
