name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
MarketCap,"11,586,933,547","10,532,933,393","7,301,916,705","16,089,353,679","13,360,889,638","11,439,585,858","9,175,024,913","12,894,140,989","8,969,785,153","8,984,109,269","11,339,841,325"
PeRatio,"12.749","9.463","4.075","5.785","17.311","7.546","8.551","13.563",,,"73.738"
ForwardPeRatio,"11.351","8.741","4.771","6.653","9.653","7.278","6.293","9.625","7.402","7.71","10.965"
PegRatio,"3.66","2.362",,,,"0.485","0.35",,,,
PsRatio,"1.282","1.153","0.883","2.061","1.88","1.735","1.435","1.914","1.265","1.223","1.605"
PbRatio,"1.013","1.006","0.724","1.075","0.946","0.792","0.701","0.939","0.652","0.652","0.814"
