name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
MarketCap,"1,659,236,414","1,505,530,531","1,602,820,114","1,490,549,400","1,853,066,340","1,518,284,740","890,992,880","404,781,733","401,795,710","258,594,240","267,212,700","244,996,850","77,362,804","38,466,343","44,079,100","96,593,100"
EnterpriseValue,"1,769,627,414","1,642,763,531","1,708,767,114","1,602,099,400","1,786,425,340","1,357,380,740","844,724,880","402,872,733","387,316,710","246,979,240","256,992,700","259,717,850","92,083,804","71,821,343","88,448,100","145,314,100"
PeRatio,"26.697","26.303","36.178","36.96","51.81","64.813","51.038","22.597","52.313","21.757","23.563","21.381","8.312",,"7.193",
ForwardPeRatio,"21.413","19.418","24.39","22.883","33.898","31.847","28.902","18.416","22.173","16.502","18.315","17.361","9.804","5.556","5.97",
PegRatio,"1.426","1.295","1.628","1.526","2.259","2.125",,"1.228","1.479","1.101","1.221","1.158","0.654","0.37","0.398",
PsRatio,"1.575","1.47","1.728","1.796","2.451","2.213","1.653","0.97","1.03","0.776","0.902","0.947","0.316","0.14","0.16","0.096"
PbRatio,"2.348","2.2","2.61","2.671","3.651","3.23","3.327","2.35","2.685","1.878","2.173","2.172","0.819","0.472","0.5","1.199"
EnterprisesValueRevenueRatio,"1.672","1.552","1.797","1.853","2.336","2.092","1.635","0.946","0.966","0.733","0.821","0.977","0.377","0.312","0.384","0.56"
EnterprisesValueEBITDARatio,"16.607","15.417","20.553","19.853","31.241","28.974","24.8","12.512","15.406","11.881","11.725","14.584","5.015","3.834","6.564","8.708"
