name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
MarketCap,"21,432,150,755","24,724,548,888","19,878,878,329","20,182,635,456","32,372,024,068","45,460,123,276","41,242,311,782","35,939,951,773","34,151,934,719","15,276,544,136","18,032,784,454","22,845,734,728","27,290,004,230","32,162,444,917","51,124,072,301","50,324,139,012"
PeRatio,"0.024","24.535","14.884","15.02","23.186","26.058","34.981","31.705","30.936","12.477","27.794","21.328","20.786","14.408","23.233","28.861"
ForwardPeRatio,"7.943","8.13","6.464","6.784","13.21","12.077","11.351",,,"20","16.502","19.342","15.337","8.217","11.481",
PegRatio,,,,,,,,,,"0.438","0.379","0.545","1.582","0.582","0.506",
PsRatio,"2.7","5.98","4.733","2.124","5.999","4","4.799","3.507","2.935","3.566","3.992","2.539","2.521","4.445","6.889","7.237"
PbRatio,"1.856","2.087","1.932","2.117","3.238","3.66","3.539","2.669","2.474","1.418","1.283","1.374","1.36","1.461","2.325","2.604"
