name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
MarketCap,"50,286,631,515","47,361,918,594","43,739,870,075","52,084,150,000","35,530,092,000","20,036,584,000","10,782,000,000","4,987,371,491","5,046,093,008","6,691,230,000","4,255,365,000","2,567,225,000","944,505,000","628,521,302","847,364,700","371,583,150","82,314,240","252,749,920","248,341,463","375,786,474"
EnterpriseValue,"50,156,531,515","46,840,518,594","43,500,170,075","51,269,750,000","34,744,792,000","19,717,384,000","10,459,400,000","4,792,271,491","4,924,793,008","6,580,830,000","4,185,665,000","2,526,625,000","902,805,000","523,568,302","800,776,700","390,224,150","118,602,240","250,832,920","186,364,192","316,332,174"
PeRatio,"100.338","136.363","253.05","99.991","151.525",,"249.583",,,,,,,,,,,,,
ForwardPeRatio,"74.074","71.942","116.279","144.928","120.482","123.457","833.333",,"833.333","2,000",,,,,,,,,,
PegRatio,"2.425","2.539","11.024","8.537","2.666",,,,,,,,,,,,,,,
PsRatio,"15.322","15.597","16.238","23.077","19.46","14.63","11.618","7.355","9.284","18.102","18.056","17.592","9.346","8.547","15.966","12.053","8.272","54.032",,
PbRatio,"24.31","20.884","23.976","24.383","23.698","26.216","19.178","13.002","19.292","34.616","37.003","34.367","12.266","5.562","13.893",,,"35.524","4.186","6.205"
EnterprisesValueRevenueRatio,"13.847","12.931","14.95","20.939","18.033","13.359","10.139","6.67","8.59","16.37","16.148","15.791","9.037","6.862","16.477","13.142","12.056","54.211","85.882",
EnterprisesValueEBITDARatio,"54.714","51.097","76.951","135.778","92.21","92.483","-140.019","-243.263","-100.097","-142.135","-319.516","-115.371","-18.425","-12.801","-15.61","-9.053","-2.382","-5.787","-3.997","-10.086"
