name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
MarketCap,"9,535,124,349","9,837,631,797","10,826,184,815","10,632,895,111","9,525,047,497","9,564,542,784","11,888,058,971","10,967,972,912","12,211,282,176","13,037,279,470","11,437,762,312","9,783,221,365","7,064,950,961","5,821,952,464","5,644,164,493","4,767,184,761","3,278,319,339","5,501,664,724","4,393,991,287","3,800,705,266","3,017,167,902","2,957,434,135","1,979,060,040","1,580,541,306","1,450,268,631","541,959,684","1,798,413,000","1,227,975,000","763,559,712","540,056,500"
EnterpriseValue,"12,105,124,349","11,958,631,797","12,091,184,815","11,635,869,111","10,387,821,497","10,828,423,784","13,925,996,971","12,444,797,912","13,203,697,176","13,775,246,470","12,186,623,312","10,121,103,365","7,476,149,961","6,147,035,464","5,935,120,493","4,563,895,761","3,336,736,339","5,709,647,724","4,717,575,287","4,096,606,266","3,366,103,902","3,053,483,135","1,997,213,040","1,648,591,306","1,718,807,631","879,559,684","1,979,613,000","1,334,675,000","761,659,712","596,656,500"
PeRatio,"23.481","22.399","17.363","17.661","16.55","16.993","29.194","20.109","25.182","27.772","25.642","23.339","18.616","16.911","17.59","15.425","13.342","23.798","24.701","30.95","48.699","21.8","17.11","18.423","18.717","11.003","114.744",,"36.963",
ForwardPeRatio,"14.663","14.706","15.798","16.779","17.606","18.018",,"17.857","20.921","23.923","22.676","19.802","16.103","14.993","15.625",,,,,,,,,,,,,,,
PegRatio,"1.726","1.729","1.86",,"2.171","2.122",,"11.018","1.49","1.933","1.775","1.497","1.074","1.207","1.157",,,,,,,,,,,,,,,
PsRatio,"0.792","0.793","0.881","0.903","1.003","0.741","0.923","0.908","1.109","1.276","1.15","1.068","0.808","0.732","0.761","0.729","0.523","0.945","0.895","1.052","1.534","0.907","0.715","0.63","0.614","0.241","0.968","0.797","0.92","0.944"
PbRatio,"2.609","2.695","2.915","3.075","3.019","3.38","3.998","3.566","4.161","4.435","4.058","3.612","2.703","2.282","2.34","2.206","1.697","3.091","3.123","3.169","2.728","2.945","2.298","2.323","2.626","1.046","3.884","2.986","2.617","13.638"
EnterprisesValueRevenueRatio,"0.981","0.969","0.956","0.938","1.027","1.084","1.479","1.401","1.141","1.296","1.175","1.059","0.836","0.721","0.789","0.698","0.523","0.967","0.935","0.905","0.863","0.956","0.707","0.644","0.722","0.385","1.03","0.786","0.554","0.622"
EnterprisesValueEBITDARatio,"13.803","13.636","12.491","10.895","14.292","11.821","18.409","15.275","13.79","15.206","13.761","12.339","9.832","8.59","9.319","8.185","6.566","11.82","12.783","12.693","13.822","11.345","8.866","8.989","10.651","5.965","17.039","17.046","13.674","13.78"
