name,ttm
MarketCap,"1,196,923,069"
EnterpriseValue,"1,186,115,069"
PeRatio,"12.423"
ForwardPeRatio,"12.658"
PsRatio,"1.322"
PbRatio,"17.49"
EnterprisesValueRevenueRatio,"1.31"
EnterprisesValueEBITDARatio,"9.844"
