name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019
MarketCap,"6,001,886,167","5,752,457,131","4,548,655,800","5,575,738,666","4,936,978,270","7,015,198,883"
PeRatio,"7.586","7.271","10.132","8.741","14.386","17.727"
ForwardPeRatio,"7.899","7.57","6.873","10.65","10.549","11.364"
PsRatio,"6.951","6.62","8.902","8.007","22.473","17.882"
PbRatio,"0.997","0.959","0.775","0.949","0.867","1.184"
