name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
MarketCap,"99,952,618,711","100,035,940,950","59,302,817,459","61,066,966,003","50,691,769,672","45,623,775,689","45,848,867,810","68,140,376,408","58,098,593,457","74,076,710,228","62,724,882,912","71,842,480,968","58,983,613,747","44,328,977,896","62,453,391,498","54,603,868,244","41,050,687,220","88,110,323,720","117,088,318,423","46,831,528,728","42,898,127,995","40,217,674,742","27,888,345,011","31,011,563,700","11,600,325,722"
PeRatio,"3.546","3.266","8.807","8.429","9.296","12.096","27.868","17.785","17.196","11.764","17.074","249.828",,"7.195","8.277",,,,"15.085","13.126","13.454","15.785","24.322","22.144","18.162"
ForwardPeRatio,"32.051","19.38","8.554","8.673","11.274","9.97","8.157","12.422","11.494","11.891","10.718","15.552",,"7.663","8.703",,,,,,,,,,
PegRatio,"0.534","0.323","1.746","0.953","0.867","1.557","0.587","0.762",,"0.546","0.481","1.426",,"1.596","0.892",,,,,,,,,,
PsRatio,"2.636","2.775","1.913","1.891","1.681","1.662","1.573","2.491","2.118","2.447","2.193","2.38","2.117","1.347","1.864","2.419","11.649","3.335","2.985","2.569","2.697","2.99","2.512","2.902","3.87"
PbRatio,"1.148","1.168","1.041","1.009","0.844","0.81","0.877","1.247","1.055","1.305","1.158","1.386","1.173","0.768","1.248","1.378","1.34","2.809","3.025","1.553","1.4","1.407","0.988","1.18","0.542"
