name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
MarketCap,"960,828,680","596,723,280","412,498,732","983,984,219","1,285,755,465","532,671,341","537,886,922","699,631,490","712,042,198","1,063,688,001","981,807,024","690,621,485"
EnterpriseValue,"764,994,680","374,400,280","310,904,732","711,632,219","1,033,555,465","309,793,341","277,743,922","495,984,490","400,919,198","697,921,001","802,616,024","659,999,489"
PeRatio,,"11.877",,,,,,,,,,"785.06"
PsRatio,"16.664","5","4.516","8.279","16.396","9.368","2.538","52.388","7.694","10.135","17.201","12.825"
PbRatio,"6.296","3.076","3.367","3.376","4.41","2.087","1.903","3.696","2.375","3.135","7.059",
EnterprisesValueRevenueRatio,"13.376","6.546","2.072","9.408","10.572","4.995","4.736","3.189","4.364","6.92","16.792","11.372"
EnterprisesValueEBITDARatio,"379.274","185.622","-2.882","-3.729","-8.678","-1.879","-1.714","-33.254","-7.646","-40.298","-21.994","423.348"
