name,ttm,12/31/2022
MarketCap,"840,525,018","350,890,425"
EnterpriseValue,"284,568,018","348,248,012"
PbRatio,"1.095","1.335"
EnterprisesValueRevenueRatio,,"600.428"
EnterprisesValueEBITDARatio,,"-9.515"
