name,ttm
MarketCap,"1,172,357,185"
EnterpriseValue,"1,254,702,185"
PsRatio,"0.954"
PbRatio,"1.006"
EnterprisesValueRevenueRatio,"1.021"
EnterprisesValueEBITDARatio,"67.858"
