name,ttm,12/31/2022
MarketCap,"308,473,422","39,801,130"
EnterpriseValue,"533,958,422","253,691,130"
PeRatio,"15.065","5.238"
PsRatio,"32.415","812.268"
PbRatio,"13.619","1.572"
EnterprisesValueRevenueRatio,"89.801","137.502"
EnterprisesValueEBITDARatio,"-46.371","-19.54"
