name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
MarketCap,"10,416,586,131","15,538,977,809","11,522,891,928","41,837,730,080","41,979,723,390"
EnterpriseValue,"11,538,011,131","16,742,409,809","11,647,821,928","40,679,704,080","40,346,546,390"
ForwardPeRatio,,"73.529","1,250",,
PsRatio,"4.695","7.56","6.709","40.25","58.556"
PbRatio,"3.273","4.848","4.858","21.269","20.379"
EnterprisesValueRevenueRatio,"5.275","7.654","8.374","36.631","52.232"
EnterprisesValueEBITDARatio,"-55.114","-79.974","-17.557","-87.383","-174.029"
