name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
MarketCap,"1,304,830,300","1,204,290,670","824,853,288","1,653,929,945","464,343,922","188,587,431","51,063,591","115,349,121","96,505,449","140,732,051","183,478,338"
EnterpriseValue,"1,303,879,300","1,245,708,670","847,047,288","1,572,230,945","461,595,922","197,860,431","51,042,591","108,048,121","75,428,449","110,896,051","130,011,338"
PeRatio,,,,,,,,,,"3.942",
PsRatio,"4.951","4.736","2.727","12.772","3.46","1.45","0.48","1.106","0.747","1.236","1.86"
PbRatio,"2.674","2.939","4.524","11.61","7.626","3.193","0.612","1.136","0.802","1.177","1.467"
EnterprisesValueRevenueRatio,"5.462","5.218","4.696","12.927","4.603","1.42","0.489","0.968","0.641","0.905","1.27"
EnterprisesValueEBITDARatio,"-51.813","-49.502","-12.383","-57.328","-40.594","-50.142","-2.207","-12.889","-37.285","30.366","-22.186"
