name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2012,12/31/2008
MarketCap,"1,301,411,461","1,599,187,198","1,980,330,824","403,269,693","405,391,392","75,703,522","127,050,259","155,832,694","38,771,916","43,015,767","18,862,852","20,354,126","8,245,815"
EnterpriseValue,"1,080,968,461","1,362,122,198","1,754,457,824","243,030,693","204,898,392","26,554,126","37,293,641","41,346,434","37,162,525","33,987,641","30,320","18,801,356","4,650,695"
PsRatio,,"3,390.254",,"10.031",,,,,,,,,
PbRatio,"5.221","6.03","8.339","2.398","2.05","1.529","1.496","1.365",,,,,
EnterprisesValueRevenueRatio,"2,531.504",,"3,830.694","6.076",,,,,,,,,
EnterprisesValueEBITDARatio,"-21.129","-26.624","-26.073","-4.45","-3.185","-0.664","-1.228","-1.223","-5.171","-2.581","-0.005","-4.554","-2.166"
