name,ttm,09/30/2024,09/30/2023
MarketCap,"2,165,557,634","1,959,081,308","2,522,996,128"
EnterpriseValue,"3,514,949,634","3,551,706,308","4,172,685,128"
PeRatio,"102.813","16.709",
PsRatio,"0.773","0.69","0.903"
PbRatio,"2.398","2.174","2.761"
EnterprisesValueRevenueRatio,"1.253","1.252","1.494"
EnterprisesValueEBITDARatio,"11.741","9.394","13.059"
