name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
MarketCap,"15,360,069,642","14,378,987,622","12,262,344,885","20,519,231,800","15,108,287,954","11,438,033,164","10,162,025,352","8,264,004,039","7,674,314,786","6,079,505,783","5,231,440,041","3,884,288,004","2,452,441,993","1,975,832,420","957,666,295","489,677,766","267,457,632","789,369,101","1,748,622,512","1,625,860,882","1,222,621,213"
EnterpriseValue,"20,455,277,642","19,507,555,622","17,531,718,885","25,523,547,800","19,121,894,954","15,048,694,164","13,550,904,352","11,363,005,039","9,875,094,786","7,574,919,783","6,724,793,041","5,394,732,004","3,958,420,993","3,395,314,420","2,325,743,295","2,047,277,766","1,926,869,632","2,498,108,101","2,478,514,512","2,359,159,882","1,962,925,213"
PeRatio,"30.097","28.216","28.049","42.915","32.887","32.426","31.794","36.061","39.91","35.317","33.753","29.638","22.801","21.352","11","6.141","5.065","22.424","16","16.575","21.975"
ForwardPeRatio,"28.011","26.385","24.57","36.63","29.499","27.174",,"27.855","31.847","29.586","27.701","23.474","19.608","17.953","10.917",,,,,,
PegRatio,"2.655","2.44","2.409","3.158","2.1","2.015",,"1.739","1.991","1.849","1.847","1.565","1.308","1.524","1.06",,,,,,
PsRatio,"3.487","3.278","2.8","4.965","3.931","3.491","3.337","3.409","3.38","2.972","2.805","2.273","1.531","1.299","0.617","0.345","0.193","0.581","1.258","1.553","0.946"
EnterprisesValueRevenueRatio,"4.567","4.355","3.864","5.858","4.644","4.159","3.947","4.076","3.994","3.417","3.373","2.993","2.358","2.055","1.481","1.458","1.352","1.708","1.724","1.561","1.357"
EnterprisesValueEBITDARatio,"22.005","20.986","20.593","28.664","24.134","21.703","21.554","20.038","20.036","17.287","17.637","15.878","12.944","11.977","8.952","7.568","8.52","9.473","9.92","10.059","9.308"
