name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995
MarketCap,"73,679,840,501","70,546,538,339","48,422,800,000","44,388,850,000","30,816,320,000","21,912,120,000","22,455,066,340","29,067,021,839","31,282,860,000","35,381,250,000","52,478,400,000","40,787,670,000","25,142,736,601","21,600,612,854","19,920,600,000","17,810,120,000","9,595,079,271","15,122,614,985","17,398,360,913","15,847,520,000","11,322,357,500","8,735,127,000","7,259,616,000","10,690,008,000","7,658,525,000","5,950,413,000","18,554,118,000","5,282,503,875","2,937,408,000","2,298,460,000","1,791,685,000"
EnterpriseValue,"78,389,840,501","76,172,538,339","53,823,800,000","49,647,850,000","36,766,320,000","31,842,120,000","30,390,066,340","35,242,021,839","37,971,860,000","40,693,250,000","58,285,400,000","43,230,670,000","26,895,736,601","21,396,612,854","20,312,600,000","16,375,120,000","9,995,079,271","15,557,614,985","16,367,360,913","14,696,520,000","11,271,957,500","10,055,427,000","8,027,016,000","11,626,608,000","8,531,825,000","6,604,513,000","19,896,318,000","6,451,003,875","3,797,808,000","2,695,460,000","1,904,585,000"
PeRatio,"30.027","24.27","16.355","34.669",,,,"6.415","16.382","16.466","30.944","33.066","16.432","17.176","18.427","14.225","11.878","15.774","19.449","22.278",,"13.74","13.121","98.5","167.188","31.818","212.903","71.777","533.333","16.426",
ForwardPeRatio,"16.129","17.361","13.405","13.298","10.299","8.696","8.265","10.638","12.151","11.468","18.116","17.241","13.316","12.315","14.104",,"8.217",,,,,,,,,,,,,,
PegRatio,"1.082","5.11","0.43",,,"16.408","1.082",,"1.267","0.509","0.67","0.845","1.143","0.897","1.114",,"0.747",,,,,,,,,,,,,,
PsRatio,"0.231","0.241","0.189","0.186","0.136","0.111","0.11","0.145","0.171","0.195","0.305","0.317","0.211","0.186","0.185","0.165","0.092","0.153","0.195","0.187","0.138","0.129","0.13","0.223","0.192","0.161","0.63","0.554","0.224","0.177","0.135"
PbRatio,"5.043",,,,,"3.549","2.421","2.425","4.067","3.986","5.777","5.081","3.204","2.766","2.759","2.365","1.549","2.471","2.853","2.683","2.146","1.691","1.603","2.826","2.061","1.669","6.438","3.755","2.33","2.143","1.768"
EnterprisesValueRevenueRatio,"0.237","0.253","0.197","0.193","0.155","0.142","0.142","0.172","0.193","0.215","0.335","0.332","0.218","0.179","0.181","0.151","0.094","0.153","0.177","0.167","0.14","0.145","0.141","0.24","0.214","0.18","0.655","0.309","0.295","0.199","0.144"
EnterprisesValueEBITDARatio,"18.029","17.164","10.419","14.972","-9.355","64.984","21.863","4.873","9.307","9.124","15.057","14.645","8.995","9.348","10.177","6.485","6.061","8.414","10.897","10.65","186.622","8.273","7.081","28.296","16.788","18.371","37.434","14.355","23.073","7.519","47.974"
