name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
MarketCap,"17,767,007,853","15,904,737,732","8,478,014,315","11,882,627,593","10,506,537,995","9,415,850,395","8,723,310,718","8,699,819,918","6,593,631,985","5,580,318,046","4,243,456,199","4,176,735,459","2,638,214,313","1,740,302,820","2,539,298,641","2,196,974,945","1,787,723,612","2,570,225,402","2,055,641,701","2,003,202,425","1,242,221,732","1,022,094,892","725,103,345","559,780,714","442,027,566","413,358,932"
EnterpriseValue,"19,225,207,853","17,469,037,732","10,239,214,315","13,296,927,593","11,659,637,995","10,993,050,395","9,803,110,718","9,763,219,918","7,601,731,985","6,463,218,046","4,791,356,199","4,573,835,459","2,973,014,313","2,182,002,820","2,698,298,641","2,304,174,945","2,052,623,612","2,604,925,402","2,066,141,701","2,063,102,425","1,491,821,732","1,308,294,892","1,028,607,345","1,043,146,714","1,135,195,566","961,258,932"
PeRatio,"30.185","29.5","17.708","24.932","29.554","26.149","27.634","29.332","27.158","25.647","24.068","25.091","19.97","18.342","22.519","35.55","15.019","17.045","14.041","15.843",,"11.929","12.55",,"6.352","5.076"
ForwardPeRatio,"25.51","22.831","16.393","23.753","24.57","20.877",,"22.831","19.608","19.084","17.794","18.868","14.265","14.006","15.873",,,,,,,,,,,
PegRatio,"3.245","2.652","1.856","2.328","4.018","2.318",,"1.849",,"1.018","1.013","0.856","0.502","1.121","0.992",,,,,,,,,,,
PsRatio,"3.578","3.235","1.884","2.969","2.943","2.575","2.315","2.33","1.907","1.655","1.428","1.381","0.915","0.551","0.852","0.772","0.541","0.767","0.623","0.609","0.409","0.326","0.245","0.176","0.135","0.157"
PbRatio,"62.275","99.716",,,,,,"271.251","276.574","57.529","8.472","8.685","5.31","3.441","4.306","3.635","3.898","3.179","2.502","3.16","2.627","1.75","1.601","0.855","0.595","0.691"
EnterprisesValueRevenueRatio,"3.859","3.507","2.17","3.17","3.208","2.887","2.524","2.543","2.087","1.864","1.423","1.43","1.008","0.768","1.044","0.809","0.597","0.697","0.556","0.606","0.5","0.469","0.377","0.334","0.35","0.407"
EnterprisesValueEBITDARatio,"21.859","19.862","13.959","20.193","21.296","17.516","17.108","17.413","15.549","17.44","12.06","13.079","10.772","8.994","10.653","14.119","7.522","8.277","9.13","9.017","248.637","6.416","6.31","6.808","4.485","4.504"
