name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
MarketCap,"141,087,255,535","146,050,355,633","156,895,975,289","147,266,149,335","128,934,971,189","132,391,076,874","103,783,742,173","164,095,853,316","141,933,001,436","136,202,837,105","125,994,980,239","138,449,780,157","138,308,189,981","136,318,381,655","105,458,387,669","90,942,457,399","88,022,203,901"
EnterpriseValue,"185,936,255,535","190,748,355,633","178,748,975,289","171,880,149,335","153,603,971,189","157,700,076,874","129,669,742,173","190,403,853,316","167,136,001,436","162,716,837,105","152,794,980,239","161,867,780,157","158,164,189,981","150,686,381,655","120,257,387,669","104,818,457,399","98,452,203,901"
PeRatio,"18.104","18.268","18.009","16.551","16.759","17.727","15.526","23.322","21.888","18.905","16.388","16.533","16.178","16.627","14.931","14.873","13.105"
ForwardPeRatio,"14.265","14.389","17.422","14.389","14.728","15.361","12.642","20","18.727","18.587","16.155","14.599","14.706","14.993","13.369",,"9.217"
PegRatio,"2.603","2.618","3.506","1.378","2.234","2.709","1.761","3.822","3.742","3.88","2.66","1.842","1.577","1.373","1.075",,"1.152"
PsRatio,"4.013","4.262","4.956","4.821","4.452","4.474","3.412","5.981","5.434","4.936","4.233","4.559","4.51","4.589","3.963","3.754","3.517"
PbRatio,,,,,,,,,,,,,,"63.591","30.079","15.91","11.736"
EnterprisesValueRevenueRatio,"5.286","5.423","5.628","5.473","5.353","5.291","4.377","6.623","6.263","6.073","5.133","5.185","5.041","4.846","4.42","4.187","3.83"
EnterprisesValueEBITDARatio,"13.903","14.263","13.261","12.306","12.131","13.557","10.361","15.16","14.241","14.148","12.023","11.142","10.609","10.414","9.833","9.528","8.878"
