name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
MarketCap,"2,380,462,645","2,804,277,541","1,695,049,428","3,050,470,428","4,291,839,283","4,045,365,109","2,249,746,494"
EnterpriseValue,"2,665,462,645","3,097,277,541","2,080,049,428","3,391,470,428","4,734,839,283","4,614,365,109","2,922,746,494"
PeRatio,"14.325","16.771","24.471","25.451","33.252","26.791","19.556"
ForwardPeRatio,"13.387","12.837","15.873","16","30.395","25.253","16.835"
PegRatio,,,,,,,"2.132"
PsRatio,"1.381","1.634","1.034","1.983","2.956","2.994","1.818"
PbRatio,"17.376","16.496","35.324","49.201",,,
EnterprisesValueRevenueRatio,"1.498","1.741","1.252","2.117","3.21","3.383","2.323"
EnterprisesValueEBITDARatio,"8.711","10.122","13.165","14.014","19.647","15.912","13.918"
