name,ttm,09/30/2024,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
MarketCap,"31,814,169,950","30,461,453,640","32,835,054,214","24,780,672,000","34,108,640,000","25,643,016,000","19,067,360,000","23,095,873,234","22,874,890,893","15,720,690,000","13,434,628,000","15,020,596,000","14,853,966,000","9,816,862,108","7,946,400,000","8,756,836,807","6,053,460,000","5,347,088,000","10,384,794,000","9,923,480,000","9,506,130,000","7,113,060,000","4,872,000,000","3,022,966,000","2,696,716,000","5,562,613,495","10,022,423,719","6,909,351,018","13,015,359,192","12,317,983,385","10,252,907,140","7,487,050,000","8,074,800,000","5,641,977,000","6,047,300,000","5,823,187,500","5,839,075,000","6,221,100,000","6,987,500,000","5,429,475,814","5,226,105,936"
EnterpriseValue,"35,428,169,950","34,161,753,640","36,485,054,214","28,730,172,000","35,554,540,000","27,469,616,000","20,394,460,000","22,835,073,234","22,102,490,893","15,163,790,000","12,769,028,000","14,456,396,000","14,582,066,000","9,836,262,108","7,862,500,000","8,848,336,807","6,314,360,000","5,769,388,000","10,395,694,000","10,481,880,000","9,791,930,000","7,397,160,000","5,419,000,000","3,662,966,000","3,432,716,000","6,271,613,495","10,766,423,719","7,870,351,018","12,954,359,192","12,113,983,385","12,750,207,140","7,851,350,000","8,498,100,000","6,237,577,000","6,560,300,000","6,843,887,500","6,784,475,000","6,270,400,000","6,798,300,000","5,395,675,814","5,544,305,936"
PeRatio,"33.993","30.507","23.336","37.541","22.343","33.335","19.48","61.281","28.744","21.769","15.879","19.448","20.565","13.505","11.691","20.239","27.781","9.574","17.823","18.444","19.097","20.919","17.617","13.558","10.486","9.022","17.442",,"22.97","22.108","14.628","12.145","14.343","11.916","10.433","9.868","7.689","7.392","11.211","9.28","9.277"
ForwardPeRatio,"29.851","24.876","21.186","19.802","28.818","27.701","17.921","20.877","24.155","20.202","14.286","16.129","17.036","12.136","10.526",,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"5.576","3.577","2.23","2.377","3.056","3.58","1.791","1.833","2.4","5.369","1.791","1.772","2.47","2.02","0.619",,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"3.9","3.509","3.837","3.38","5.092","3.967","2.975","3.648","3.744","2.722","2.141","2.347","2.397","1.603","1.355","1.83","1.398","0.971","1.992","1.94","1.979","1.677","1.216","0.786","0.522","0.81","1.443","1.062","1.749","1.204","0.846","0.687","0.743","0.531","0.525","0.49","0.475","0.502","0.587","0.461","0.486"
PbRatio,"9.094","9.159","9.816","10.363","17.393","33.281","16.487","15.724","10.506","7.411","5.256","5.518","7.398","5.058","4.546","5.996","4.598","3.166","5.284","6.065","5.764","3.822","3.07","1.879","1.679","2.042","3.801","2.129","2.705","2.894","2.802","2.232","2.733","2.032","1.432","1.407","1.477","1.686","2.11","1.718","1.774"
EnterprisesValueRevenueRatio,"4.287","3.886","4.232","3.861","5.26","4.233","3.047","3.458","3.575","2.549","1.97","2.205","2.315","1.574","1.31","1.822","1.457","1.013","1.782","1.926","1.957","1.677","1.32","0.937","0.66","0.872","1.529","1.166","1.669","1.168","1.028","0.701","0.784","0.572","0.55","0.55","0.547","0.525","0.561","0.439","0.489"
EnterprisesValueEBITDARatio,"22.55","21.465","17.57","28.134","16.957","23.581","13.002","16.72","17.786","12.372","9.065","11.258","12.546","8.447","7.429","12.088","13.466","5.798","9.509","10.076","10.367","10.707","9.98","7.506","4.547","4.773","8.95","8.764","9.859","8.513","7.053","4.871","5.992","4.702","4.101","4.164","4.054","4.191","4.02","3.325","3.414"
